12.05,12.05,12.05,2.22045e-014,1,0.1,0.86
12,12,12,2.22045e-014,0,0,1.36
11.95,11.95,11.95,2.22045e-014,0,0,1.891
11.9,11.9,11.9,2.22045e-014,0,0,2.422
11.85,11.85,11.85,2.22045e-014,0,0,3.469
11.8,11.8,11.8,4.44089e-014,1,0.1,4.5
11.75,11.801,11.75,4.44089e-014,0,0,5
11.7,11.7,11.7,6.66134e-014,1,0.1,6
11.65,11.65,11.65,6.66134e-014,0,0,6.5
11.6,11.6,11.6,6.66134e-014,0,0,7.032
11.55,11.55,11.55,6.66134e-014,0,0,7.563
11.5,11.5,11.5,6.66134e-014,0,0,8.579
11.45,11.451,11.45,8.88178e-014,1,0.1,9.61
11.4,11.4,11.4,8.88178e-014,1,0.1,10.61
11.35,11.35,11.35,8.88178e-014,0,0,11.641
11.3,11.3,11.3,1.11022e-013,1,0.1,12.641
11.25,11.25,11.25,1.11022e-013,0,0,13.141
11.2,11.199,11.2,1.33227e-013,0,0,13.657
11.15,11.15,11.15,1.33227e-013,0,0,14.657
11.1,11.099,11.1,1.33227e-013,0,0,15.204
11.05,11.05,11.05,1.55431e-013,0,0,16.235
11,11.001,11,1.55431e-013,1,0.1,17.266
